样本ID,余数编号,数量下限,数量上限,规格下限,规格上限,定额单位,镀种大类,余数,领进数量,报工数量,计划数量(不含余数),实际损耗,是否进入分析
S00024,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,9.670614,9.066095,8.83336,0.604519,是
S00025,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.526146,3.568052,3.393922,0.958093,是
S00026,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.179678,1.684083,2.273535,0.495595,是
S00027,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,9.833427,8.92993,8.129241,0.903497,是
S00028,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.170491,6.013564,6.753719,0.156927,是
S00029,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.995178,4.246982,4.735277,0.748196,是
S00030,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.991578,2.755683,3.038618,0.235895,是
S00031,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.130748,1.901792,2.256907,0.228955,是
S00032,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.052747,1.279502,0.309712,0.773246,是
S00033,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,10.758479,9.902659,9.145346,0.85582,是
S00034,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.632834,5.600914,5.165956,0.03192,是
S00035,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.246559,1.741989,0.764355,0.50457,是
S00036,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,9.202518,8.607883,9.095078,0.594634,是
S00037,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.177569,1.385844,0.299936,0.791725,是
S00038,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.998349,3.528781,5.31481,0.469568,是
S00039,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.270686,3.907522,4.206435,0.363164,是
S00040,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.818297,6.562998,6.648762,0.255299,是
S00041,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.006271,5.979601,7.080066,0.026671,是
S00042,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.69599,5.416304,7.515958,0.279687,是
S00043,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.306652,1.758476,0.803062,0.548175,是
S00044,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.796396,3.260373,4.115384,0.536023,是
S00045,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.582639,6.083272,6.738779,0.499366,是
S00046,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.900916,1.376576,0.574515,0.52434,是
S00047,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.019361,5.266978,5.907958,0.752383,是
S00048,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.33611,1.772124,1.820051,0.563986,是
S00049,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.041953,3.439122,4.936405,0.602831,是
S00050,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.364657,3.750736,4.807244,0.613921,是
S00051,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.117975,2.593329,2.650795,0.524646,是
S00052,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.725871,1.990773,1.80945,0.735097,是
S00053,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.610329,4.266772,5.316184,0.343557,是
S00054,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.551904,2.081384,2.584333,0.47052,是
S00055,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.853461,1.211056,1.73816,0.642405,是
S00056,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.50015,1.908517,2.211692,0.591633,是
S00057,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.785513,7.713217,7.443332,0.072296,是
S00058,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.001844,6.734452,6.459811,0.267392,是
S00059,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.20235,3.172607,4.128654,1.029743,是
S00060,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.633019,4.966211,4.660977,0.666807,是
S00061,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.784052,3.54021,3.448354,0.243842,是
S00062,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.537438,4.256527,6.2564,0.28091,是
S00063,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.991729,1.712443,1.309138,0.279286,是
S00064,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,8.900002,8.549663,8.169574,0.350338,是
S00065,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.725743,6.974779,6.585588,0.750965,是
S00066,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.955583,1.846027,2.561949,1.109556,是
S00067,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.332141,1.92668,1.728465,0.405461,是
S00068,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.402263,6.461372,8.963294,0.940891,是
S00069,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.483372,1.857473,1.167077,0.625898,是
S00070,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,1.742689,1.627487,1.688018,0.115202,是
S00071,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.022499,2.285259,2.353971,0.73724,是
S00072,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,5.541284,4.796739,4.711275,0.744545,是
S00073,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,6.73007,6.35766,7.597158,0.372411,是
S00074,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.616364,2.144242,3.095622,0.472122,是
S00075,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.807717,3.992987,4.138951,0.81473,是
S00076,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,7.732335,6.937435,7.876466,0.794899,是
S00077,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,8.751227,8.101706,7.884391,0.649521,是
S00078,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.898136,3.493944,4.827418,0.404193,是
S00079,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.947416,2.053255,2.060161,0.894162,是
S00080,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,9.084361,8.481787,8.759278,0.602573,是
S00081,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.600067,3.339784,5.046749,0.260284,是
S00082,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,3.200904,3.009747,3.112462,0.191156,是
S00083,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.80117,2.177835,2.060541,0.623334,是
S00084,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,4.637666,4.298785,4.010713,0.338881,是
S00085,R01,0.0,10.0,0.0,20.0,数量,类型A,2.8,2.283962,1.855225,2.00243,0.428736,是
S00086,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.949939,5.832326,6.672925,1.117613,是
S00087,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.385151,4.24158,6.246438,2.143572,是
S00088,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.982888,2.643155,3.769141,0.339733,是
S00089,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,8.144726,6.504703,8.992441,1.640022,是
S00090,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,9.289797,8.614627,9.453173,0.67517,是
S00091,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.003284,1.837358,2.731634,1.165926,是
S00092,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,9.7915,7.917038,9.916533,1.874463,是
S00093,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,5.25543,3.8202,5.146491,1.435231,是
S00094,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.557258,1.363689,1.760078,1.193569,是
S00095,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.706589,5.45324,5.718637,1.253349,是
S00096,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.605709,2.765804,3.704554,1.839905,是
S00097,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,8.134903,7.355664,6.778814,0.779238,是
S00098,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,8.999651,6.778377,7.090711,2.221274,是
S00099,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.906343,3.862365,4.153152,1.043978,是
S00100,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,7.13571,5.279207,5.031741,1.856504,是
S00101,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.129871,4.237296,4.97219,1.892575,是
S00102,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,1.757872,1.517034,0.077567,0.240838,是
S00103,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,8.837197,7.834681,7.673265,1.002516,是
S00104,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,9.592039,8.032901,8.330688,1.559138,是
S00105,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,10.114449,8.877582,8.871211,1.236867,是
S00106,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.702235,2.731527,3.155973,0.970708,是
S00107,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.772844,3.685636,5.33264,1.087208,是
S00108,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,1.800388,1.068198,0.037637,0.73219,是
S00109,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,1.866618,1.483156,1.867295,0.383462,是
S00110,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.845637,1.991833,0.366147,1.853804,是
S00111,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,5.957686,4.969191,6.988215,0.988495,是
S00112,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.712852,1.021223,0.662964,1.691628,是
S00113,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,7.747002,6.445509,8.203214,1.301493,是
S00114,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,7.766904,6.551732,6.071774,1.215172,是
S00115,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.300556,2.340332,2.946023,0.960224,是
S00116,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,7.101054,5.993241,6.371435,1.107813,是
S00117,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.806164,1.998904,1.91004,0.80726,是
S00118,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.879157,3.385474,3.451474,0.493683,是
S00119,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,5.084404,3.852554,3.777828,1.23185,是
S00120,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,8.430862,7.118146,8.875365,1.312715,是
S00121,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.588145,2.235348,2.843695,1.352797,是
S00122,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.93715,3.331012,3.485752,1.606139,是
S00123,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,11.038205,9.123907,8.66776,1.914298,是
S00124,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,7.378999,6.986054,8.041751,0.392945,是
S00125,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,9.552586,9.358324,8.70417,0.194262,是
S00126,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.52124,2.535522,2.523102,1.985718,是
S00127,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,11.731077,10.63156,9.897164,1.099517,是
S00128,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,4.836945,3.179381,2.949615,1.657564,是
S00129,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,5.565885,4.575732,5.472143,0.990153,是
S00130,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.652009,4.992079,4.786129,1.65993,是
S00131,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.296413,1.14804,1.522694,1.148373,是
S00132,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.159756,2.225724,2.285943,0.934031,是
S00133,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.599255,1.616519,0.927554,0.982736,是
S00134,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,3.80102,2.454593,3.611438,1.346426,是
S00135,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,6.083142,4.567038,5.021681,1.516104,是
S00136,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,11.262977,9.194323,9.538473,2.068654,是
S00137,R01,0.0,10.0,0.0,20.0,数量,类型B,2.8,2.771223,1.849477,2.154123,0.921745,是
S00138,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,2.289471,1.752352,1.193597,0.537119,是
S00139,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,7.484046,6.510697,7.038693,0.973349,是
S00140,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,8.817604,8.221365,7.924037,0.59624,是
S00141,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,6.89171,5.445478,7.286284,1.446232,是
S00142,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,2.998235,1.515414,1.514653,1.482821,是
S00143,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,7.424673,6.051129,7.385216,1.373543,是
S00144,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,4.618273,4.278476,5.775287,0.339797,是
S00145,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,10.179444,9.131584,8.308934,1.04786,是
S00146,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,5.0351,4.710581,4.603592,0.324519,是
S00147,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,10.290062,9.223087,9.805947,1.066975,是
S00148,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,7.302931,6.369264,9.625327,0.933667,是
S00149,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,4.651464,3.963847,4.381603,0.687618,是
S00150,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,2.547966,2.001992,2.344573,0.545974,是
S00151,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,7.373159,6.758218,8.014129,0.614941,是
S00152,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,9.833923,9.310032,8.784506,0.523892,是
S00153,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,2.487546,1.243389,0.073155,1.244157,是
S00154,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,5.062354,4.379301,4.171335,0.683053,是
S00155,R01,0.0,10.0,0.0,20.0,数量,类型C,2.8,7.053312,6.853325,7.888209,0.199986,是
S00156,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,16.252003,14.55027,20.062623,1.701733,是
S00157,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.476457,12.313476,15.450587,1.162981,是
S00158,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,14.136326,12.762115,14.454087,1.37421,是
S00159,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,22.74204,21.334966,23.825658,1.407074,是
S00160,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,20.954289,20.170071,19.87312,0.784218,是
S00161,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,17.325067,15.199353,17.524052,2.125714,是
S00162,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,15.954993,15.132018,14.332243,0.822976,是
S00163,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,8.652218,7.12413,10.214785,1.528088,是
S00164,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.476098,12.982647,13.124674,0.493451,是
S00165,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.660938,12.847214,18.206023,0.813724,是
S00166,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,11.307511,11.042538,16.861498,0.264973,是
S00167,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,8.075412,7.336943,10.646697,0.738469,是
S00168,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.455615,13.035261,18.28021,0.420354,是
S00169,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,27.345605,26.548011,26.399236,0.797594,是
S00170,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,17.831543,16.779395,19.65439,1.052148,是
S00171,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,14.290495,13.287775,17.173851,1.002721,是
S00172,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.344956,11.356912,13.272418,1.988044,是
S00173,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,12.8128,11.765617,13.284326,1.047183,是
S00174,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,25.522035,23.704467,26.851891,1.817567,是
S00175,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,18.616505,18.130954,21.829819,0.485551,是
S00176,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,21.25906,19.438259,23.464836,1.820801,是
S00177,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,21.732557,19.637615,18.667141,2.094942,是
S00178,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,22.120178,21.142211,24.317839,0.977967,是
S00179,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,15.114423,13.567742,12.861062,1.546681,是
S00180,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,25.794962,24.731758,22.947226,1.063203,是
S00181,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.037244,10.717364,10.731579,2.31988,是
S00182,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,22.667795,21.4166,21.886031,1.251195,是
S00183,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,11.70936,9.782069,14.69979,1.927291,是
S00184,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,16.635461,14.906006,15.087689,1.729455,是
S00185,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,24.576526,22.835608,27.110061,1.740917,是
S00186,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,26.623336,25.576749,24.918612,1.046587,是
S00187,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,18.782879,18.260749,24.658726,0.52213,是
S00188,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,28.562402,26.716614,25.964544,1.845788,是
S00189,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,12.083749,12.083749,12.172462,0.0,是
S00190,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,12.818862,10.990007,11.401328,1.828856,是
S00191,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,11.819726,10.145212,10.17013,1.674514,是
S00192,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,18.253861,16.949028,24.92862,1.304833,是
S00193,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,8.953229,8.231278,12.125377,0.721952,是
S00194,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,25.999643,23.255568,24.805929,2.744074,是
S00195,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,10.532958,8.450105,10.858546,2.082852,是
S00196,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,25.505999,24.148106,25.611575,1.357893,是
S00197,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,10.17995,9.0862,11.815861,1.093751,是
S00198,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,16.376685,14.946026,15.849408,1.430658,是
S00199,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,19.180374,18.213273,25.676408,0.967101,是
S00200,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,20.856684,20.436894,28.609195,0.41979,是
S00201,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,9.184627,8.108226,10.336029,1.076401,是
S00202,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,10.497066,9.4165,10.993575,1.080566,是
S00203,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.300971,11.668081,14.790524,1.63289,是
S00204,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,16.697136,14.919047,17.570461,1.778089,是
S00205,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,20.273923,19.087939,22.854487,1.185984,是
S00206,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,19.379007,18.805418,26.653534,0.573589,是
S00207,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,26.261473,24.548599,24.862173,1.712875,是
S00208,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,21.804384,20.3975,18.638836,1.406884,是
S00209,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,17.184889,16.03468,22.11523,1.150209,是
S00210,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,24.506071,23.065801,23.373008,1.440269,是
S00211,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.897258,11.861663,11.7321,2.035595,是
S00212,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,12.53031,11.382275,16.106672,1.148035,是
S00213,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.270465,11.730225,16.375578,1.540241,是
S00214,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,11.274967,10.298876,10.867875,0.976091,是
S00215,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,17.246922,16.776148,22.158897,0.470773,是
S00216,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,11.407124,10.150037,10.063144,1.257088,是
S00217,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.747334,13.025113,12.170326,0.722221,是
S00218,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,26.699692,25.651339,25.748592,1.048352,是
S00219,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,13.139173,12.204998,12.83696,0.934176,是
S00220,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,20.506485,19.310862,27.389439,1.195623,是
S00221,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,30.914973,28.861694,29.633099,2.053279,是
S00222,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,27.262557,25.854978,26.35912,1.407579,是
S00223,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,22.427217,20.961435,25.448994,1.465783,是
S00224,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,21.879457,20.893408,25.48545,0.986048,是
S00225,R01,10.01,30.0,0.0,20.0,数量,类型A,4.5,17.105947,15.566815,17.328292,1.539132,是
S00226,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,18.498851,15.260837,16.895327,3.238015,是
S00227,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,18.62417,15.816826,23.657252,2.807344,是
S00228,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,13.842524,12.61474,14.549443,1.227784,是
S00229,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,14.172251,11.57431,11.27121,2.597941,是
S00230,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,12.564632,9.868838,12.259466,2.695794,是
S00231,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,10.011235,7.262921,10.934114,2.748315,是
S00232,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,17.162963,15.760537,15.768125,1.402425,是
S00233,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,26.122125,24.299729,26.318439,1.822396,是
S00234,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,15.797686,13.5635,18.438028,2.234186,是
S00235,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,12.906552,11.287718,14.364205,1.618835,是
S00236,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,23.64785,21.170792,23.310652,2.477058,是
S00237,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,17.076433,14.236026,17.181349,2.840407,是
S00238,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,27.386327,24.13391,28.744374,3.252417,是
S00239,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,22.365489,17.415097,20.147879,4.950393,是
S00240,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,19.113751,16.708618,20.44068,2.405133,是
S00241,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,22.877663,20.579196,22.451861,2.298467,是
S00242,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,20.582932,19.030516,21.88856,1.552416,是
S00243,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,15.651266,11.938495,14.558918,3.712771,是
S00244,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,19.710031,18.808984,24.284078,0.901047,是
S00245,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,22.105628,18.616221,27.303181,3.489407,是
S00246,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,19.85694,17.142404,25.117954,2.714537,是
S00247,R01,10.01,30.0,0.0,20.0,数量,类型B,4.5,23.590702,22.332429,21.174625,1.258273,是
